StoreID,ItemID,sold
S1,a,10
S1,b,20
S1,c,5
S1,d,8
S1,e,15
S1,f,12
S1,g,18
S1,h,7
S1,i,25
S1,j,14
S2,a,5
S2,b,22
S2,c,8
S2,d,13
S2,e,16
S2,f,10
S2,g,25
S2,h,6
S2,i,20
S2,j,18
S3,a,15
S3,b,18
S3,c,7
S3,d,21
S3,e,12
S3,f,9
S3,g,22
S3,h,11
S3,i,15
S3,j,14
S4,a,8
S4,b,12
S4,c,25
S4,d,10
S4,e,14
S4,f,18
S4,g,20
S4,h,9
S4,i,17
S4,j,11
S5,a,20
S5,b,15
S5,c,8
S5,d,19
S5,e,14
S5,f,11
S5,g,23
S5,h,6
S5,i,21
S5,j,13
S6,a,10
S6,b,25
S6,c,15
S6,d,12
S6,e,18
S6,f,7
S6,g,22
S6,h,9
S6,i,14
S6,j,20
S7,a,12
S7,b,19
S7,c,6
S7,d,20
S7,e,16
S7,f,8
S7,g,25
S7,h,14
S7,i,10
S7,j,21
S8,a,18
S8,b,14
S8,c,9
S8,d,21
S8,e,11
S8,f,20
S8,g,15
S8,h,7
S8,i,22
S8,j,13
S9,a,23
S9,b,9
S9,c,16
S9,d,14
S9,e,8
S9,f,20
S9,g,12
S9,h,19
S9,i,10
S9,j,15
S10,a,7
S10,b,21
S10,c,12
S10,d,18
S10,e,15
S10,f,10
S10,g,24
S10,h,11
S10,i,16
S10,j,14